Index,landing_site
2022-04-25,bwawani
2022-04-11,bwawani
2022-04-11,bwawani
,
,
,
2022-04-26,kizimkazi dimbani
2022-04-26,kizimkazi dimbani
,
,
,
,
2022-04-30,tanga
2022-05-09,kizimkazi dimbani
2022-05-09,kizimkazi dimbani
2022-05-09,kizimkazi dimbani
2022-05-09,kizimkazi dimbani
2022-05-09,shangani
2022-05-10,msuka
2022-05-10,msuka
2022-05-10,msuka
2022-05-11,tanga
2022-05-11,shangani
2022-05-12,msuka
2022-05-12,msuka
2022-05-12,msuka
2022-05-12,msuka
2022-05-12,msuka
2022-05-12,msuka
2022-05-12,msuka
2022-04-11,bwawani
2022-04-11,bwawani
2022-04-11,bwawani
2022-04-11,nungwi
2022-05-16,bwawani
2022-05-16,bwawani
2022-05-18,msuka
2022-05-17,tanga
2022-05-18,shangani
2022-05-19,shangani
2022-05-20,shangani
2022-05-20,shangani
2022-05-16,bwawani
2022-05-16,bwawani
2022-05-16,bwawani
2022-05-16,bwawani
2022-05-16,bwawani
2022-05-16,bwawani
2022-05-16,bwawani
2022-05-16,bwawani
2022-05-16,bwawani
2022-05-16,bwawani
2022-05-23,tanga
2022-05-23,tanga
2022-05-23,shangani
2022-05-23,shangani
2022-05-24,kizimkazi dimbani
2022-05-19,mkokotoni
2022-05-24,kizimkazi dimbani
2022-05-23,bwawani
2022-05-23,bwawani
2022-05-23,bwawani
2022-05-23,bwawani
2022-05-23,bwawani
2022-05-23,bwawani
2022-05-23,bwawani
2022-05-23,bwawani
2022-05-24,msuka
2022-05-25,mkokotoni
2022-05-25,mkokotoni
2022-05-25,mkokotoni
2022-05-25,kizimkazi dimbani
2022-05-25,mkokotoni
2022-05-26,msuka
2022-05-26,msuka
2022-05-26,msuka
2022-05-26,msuka
2022-05-26,msuka
2022-05-26,msuka
2022-05-23,bwawani
2022-05-23,bwawani
2022-05-23,bwawani
2022-05-30,kizimkazi dimbani
2022-05-30,kizimkazi dimbani
2022-05-31,bwawani
2022-05-31,bwawani
2022-05-31,bwawani
2022-05-31,msuka
2022-05-31,msuka
2022-05-31,msuka
2022-05-31,msuka
2022-05-31,msuka
2022-05-31,msuka
2022-05-30,mkokotoni
2022-05-31,bwawani
2022-05-31,bwawani
2022-05-31,bwawani
2022-05-31,bwawani
2022-06-02,msuka
2022-06-02,msuka
2022-06-07,msuka
2022-06-07,tanga
2022-06-07,tanga
2022-06-09,kizimkazi dimbani
2022-06-09,msuka
2022-06-09,msuka
2022-06-09,msuka
2022-06-09,msuka
2022-06-09,msuka
2022-06-09,msuka
2022-05-31,bwawani
2022-05-31,bwawani
2022-05-31,bwawani
2022-06-13,bwawani
2022-06-13,bwawani
2022-06-13,bwawani
2022-06-14,kizimkazi dimbani
2022-06-14,kizimkazi dimbani
2022-06-14,kizimkazi dimbani
2022-06-14,kizimkazi dimbani
2022-06-14,kizimkazi dimbani
2022-05-31,bwawani
2022-05-31,bwawani
2022-05-31,bwawani
2022-06-14,msuka
2022-06-14,msuka
2022-06-14,msuka
2022-06-14,msuka
2022-06-16,msuka
2022-05-31,bwawani
2022-05-31,bwawani
2022-05-31,bwawani
2022-06-20,shangani
2022-06-20,shangani
2022-06-21,kizimkazi dimbani
2022-06-21,msuka
2022-06-21,msuka
2022-06-21,bwawani
2022-06-21,bwawani
2022-06-21,bwawani
2022-06-21,bwawani
2022-06-20,tanga
2022-06-21,tanga
2022-06-21,tanga
2022-06-21,tanga
2022-06-21,tanga
2022-06-22,tanga
2022-06-23,msuka
2022-06-23,msuka
2022-06-21,bwawani
2022-06-21,bwawani
2022-06-27,shangani
2022-06-27,shangani
2022-06-23,msuka
2022-06-23,msuka
2022-06-21,bwawani
2022-06-21,bwawani
2022-06-21,bwawani
2022-06-28,msuka
2022-06-28,msuka
2022-06-21,bwawani
2022-06-21,bwawani
2022-06-29,bwawani
2022-06-29,bwawani
2022-06-29,bwawani
2022-06-29,bwawani
2022-06-29,bwawani
2022-07-04,kizimkazi dimbani
2022-07-04,kizimkazi dimbani
2022-06-21,bwawani
2022-06-29,bwawani
2022-06-29,bwawani
2022-06-29,bwawani
2022-06-29,bwawani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-05,msuka
2022-07-05,msuka
2022-07-05,msuka
2022-07-05,msuka
2022-07-05,msuka
2022-06-21,bwawani
2022-06-21,bwawani
2022-06-21,bwawani
2022-06-21,bwawani
2022-06-21,bwawani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-05,msuka
2022-07-06,kizimkazi dimbani
2022-07-06,kizimkazi dimbani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-07,msuka
2022-07-07,msuka
2022-07-07,msuka
2022-07-07,msuka
2022-07-12,msuka
2022-07-12,msuka
2022-06-14,tanga
2022-06-14,tanga
,
,
,
,
2022-07-14,kizimkazi dimbani
2022-07-14,kizimkazi dimbani
2022-07-14,kizimkazi dimbani
2022-07-14,msuka
2022-07-14,msuka
2022-07-05,shangani
2022-07-05,shangani
2022-07-11,shangani
2022-07-11,shangani
2022-07-15,shangani
2022-07-15,shangani
2022-07-15,shangani
2022-07-15,shangani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-04,bwawani
2022-07-18,tanga
,
,
2022-07-19,bwawani
2022-07-19,bwawani
2022-07-19,bwawani
2022-07-19,bwawani
2022-07-19,bwawani
2022-07-19,msuka
2022-07-19,msuka
2022-07-19,msuka
2022-07-20,kizimkazi dimbani
2022-07-20,kizimkazi dimbani
2022-07-20,kizimkazi dimbani
2022-07-20,kizimkazi dimbani
2022-07-20,kizimkazi dimbani
2022-07-19,bwawani
2022-07-19,bwawani
2022-07-21,msuka
2022-07-21,msuka
2022-07-21,msuka
2022-07-25,kizimkazi dimbani
2022-07-19,bwawani
2022-07-19,bwawani
2022-07-19,bwawani
2022-07-28,msuka
2022-07-28,msuka
2022-07-28,msuka
2022-07-28,msuka
2022-07-28,msuka
2022-07-28,msuka
2022-07-29,kizimkazi dimbani
2022-07-29,kizimkazi dimbani
2022-07-29,kizimkazi dimbani
2022-07-19,bwawani
2022-07-26,bwawani
2022-08-02,bwawani
2022-08-02,bwawani
2022-08-02,bwawani
2022-08-02,bwawani
2022-08-02,bwawani
2022-08-03,bwawani
2022-08-03,bwawani
2022-08-03,bwawani
2022-07-26,bwawani
2022-07-26,bwawani
2022-07-26,bwawani
2022-07-26,bwawani
2022-08-09,bwawani
2022-07-21,shangani
2022-07-22,shangani
2022-07-22,shangani
2022-07-28,shangani
2022-07-28,shangani
2022-08-01,shangani
2022-08-09,shangani
2022-08-09,shangani
2022-07-26,bwawani
2022-07-26,bwawani
2022-08-11,tanga
2022-08-13,tanga
2022-08-17,msuka
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-17,bwawani
2022-08-18,msuka
2022-08-18,msuka
2022-08-18,msuka
2022-08-18,msuka
2022-08-18,msuka
2022-08-22,kizimkazi dimbani
2022-08-22,kizimkazi dimbani
2022-08-22,kizimkazi dimbani
2022-08-22,kizimkazi dimbani
2022-08-22,msuka
2022-08-22,bwawani
2022-08-22,bwawani
2022-08-22,bwawani
2022-08-22,bwawani
2022-08-22,bwawani
2022-08-22,bwawani
2022-08-22,bwawani
2022-08-22,bwawani
2022-08-17,shangani
2022-08-17,shangani
2022-08-22,shangani
2022-08-25,kizimkazi dimbani
2022-08-30,kizimkazi dimbani
2022-09-05,tanga
2022-07-26,bwawani
2022-09-05,bwawani
2022-09-05,bwawani
2022-09-05,bwawani
2022-09-05,bwawani
2022-09-05,bwawani
2022-09-05,bwawani
2022-09-05,bwawani
2022-09-05,kizimkazi dimbani
2022-09-05,bwawani
2022-09-05,bwawani
2022-09-05,bwawani
2022-09-05,bwawani
2022-08-30,shangani
2022-08-30,shangani
2022-08-31,shangani
2022-09-05,shangani
2022-09-06,bwawani
2022-09-06,bwawani
2022-09-06,bwawani
