Index,Landing site
2022-06-21,Tanga
2022-06-21,Tanga
2022-06-22,Tanga
2022-06-23,Msuka
2022-06-23,Msuka
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-06-27,Shangani
2022-06-27,Shangani
2022-06-23,Msuka
2022-06-23,Msuka
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-06-28,Msuka
2022-06-28,Msuka
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-06-29,Bwawani
2022-06-29,Bwawani
2022-06-29,Bwawani
2022-06-29,Bwawani
2022-06-29,Bwawani
2022-07-04,Kizimkazi dimbani
2022-07-04,Kizimkazi dimbani
2022-06-21,Bwawani
2022-06-29,Bwawani
2022-06-29,Bwawani
2022-06-29,Bwawani
2022-06-29,Bwawani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-05,Msuka
2022-07-05,Msuka
2022-07-05,Msuka
2022-07-05,Msuka
2022-07-05,Msuka
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-05,Msuka
2022-07-06,Kizimkazi dimbani
2022-07-06,Kizimkazi dimbani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-07,Msuka
2022-07-07,Msuka
2022-07-07,Msuka
2022-07-07,Msuka
2022-07-12,Msuka
2022-07-12,Msuka
2022-06-14,Tanga
2022-06-14,Tanga
,
,
,
,
2022-07-14,Kizimkazi dimbani
2022-07-14,Kizimkazi dimbani
2022-07-14,Kizimkazi dimbani
2022-07-14,Msuka
2022-07-14,Msuka
2022-07-05,Shangani
2022-07-05,Shangani
2022-07-11,Shangani
2022-07-11,Shangani
2022-07-15,Shangani
2022-07-15,Shangani
2022-07-15,Shangani
2022-07-15,Shangani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-04,Bwawani
2022-07-18,Tanga
,
,
2022-07-19,Bwawani
2022-07-19,Bwawani
2022-07-19,Bwawani
2022-07-19,Bwawani
2022-07-19,Bwawani
2022-07-19,Msuka
2022-07-19,Msuka
2022-07-19,Msuka
2022-07-20,Kizimkazi dimbani
2022-07-20,Kizimkazi dimbani
2022-07-20,Kizimkazi dimbani
2022-07-20,Kizimkazi dimbani
2022-07-20,Kizimkazi dimbani
2022-07-19,Bwawani
2022-07-19,Bwawani
2022-07-21,Msuka
2022-07-21,Msuka
2022-07-21,Msuka
2022-07-25,Kizimkazi dimbani
2022-07-19,Bwawani
2022-07-19,Bwawani
2022-07-19,Bwawani
2022-07-28,Msuka
2022-07-28,Msuka
2022-07-28,Msuka
2022-07-28,Msuka
2022-07-28,Msuka
2022-07-28,Msuka
2022-07-29,Kizimkazi dimbani
2022-07-29,Kizimkazi dimbani
2022-07-29,Kizimkazi dimbani
2022-07-19,Bwawani
2022-07-26,Bwawani
2022-08-02,Bwawani
2022-08-02,Bwawani
2022-08-02,Bwawani
2022-08-02,Bwawani
2022-08-02,Bwawani
2022-08-03,Bwawani
2022-08-03,Bwawani
2022-08-03,Bwawani
2022-07-26,Bwawani
2022-07-26,Bwawani
2022-07-26,Bwawani
2022-07-26,Bwawani
2022-08-09,Bwawani
2022-07-21,Shangani
2022-07-22,Shangani
2022-07-22,Shangani
2022-07-28,Shangani
2022-07-28,Shangani
2022-08-01,Shangani
2022-08-09,Shangani
2022-08-09,Shangani
2022-07-26,Bwawani
2022-07-26,Bwawani
2022-08-11,Tanga
2022-08-13,Tanga
2022-08-17,Msuka
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-17,Bwawani
2022-08-18,Msuka
2022-08-18,Msuka
2022-08-18,Msuka
2022-08-18,Msuka
2022-08-18,Msuka
2022-08-22,Kizimkazi dimbani
2022-08-22,Kizimkazi dimbani
2022-08-22,Kizimkazi dimbani
2022-08-22,Kizimkazi dimbani
2022-08-22,Msuka
2022-08-22,Bwawani
2022-08-22,Bwawani
2022-08-22,Bwawani
2022-08-22,Bwawani
2022-08-22,Bwawani
2022-08-22,Bwawani
2022-08-22,Bwawani
2022-08-22,Bwawani
2022-08-17,Shangani
2022-08-17,Shangani
2022-08-22,Shangani
2022-08-25,Kizimkazi dimbani
2022-08-30,Kizimkazi dimbani
2022-09-05,Tanga
2022-07-26,Bwawani
2022-09-05,Bwawani
2022-09-05,Bwawani
2022-09-05,Bwawani
2022-09-05,Bwawani
2022-09-05,Bwawani
2022-09-05,Bwawani
2022-09-05,Bwawani
2022-09-05,Kizimkazi dimbani
2022-09-05,Bwawani
2022-09-05,Bwawani
2022-09-05,Bwawani
2022-09-05,Bwawani
2022-08-30,Shangani
2022-08-30,Shangani
2022-08-31,Shangani
2022-09-05,Shangani
2022-09-06,Bwawani
2022-09-06,Bwawani
2022-09-06,Bwawani
2022-09-06,Bwawani
2022-09-06,Bwawani
2022-09-06,Bwawani
2022-09-06,Bwawani
2022-09-08,Kizimkazi dimbani
2022-09-08,Kizimkazi dimbani
2022-09-08,Msuka
2022-09-08,Msuka
2022-09-08,Msuka
2022-09-08,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2022-04-12,Tanga
2022-05-14,Tanga
2022-05-16,Tanga
2022-05-18,Tanga
2022-05-19,Tanga
2022-05-25,Tanga
2022-05-30,Tanga
2022-06-01,Tanga
2022-06-01,Tanga
2022-06-01,Tanga
2022-06-08,Tanga
2022-06-12,Tanga
2022-06-13,Tanga
2022-07-18,Tanga
2022-07-19,Tanga
2022-07-25,Tanga
2022-07-25,Tanga
2022-07-26,Tanga
2022-08-02,Tanga
2022-08-04,Tanga
2022-08-04,Tanga
2022-08-13,Tanga
2022-08-13,Tanga
2022-08-15,Tanga
2022-08-16,Tanga
2022-08-18,Tanga
2022-08-22,Tanga
2022-08-22,Tanga
2022-08-22,Tanga
2022-08-22,Tanga
2022-08-29,Tanga
2022-08-29,Tanga
2022-08-29,Tanga
2022-08-30,Tanga
2022-09-05,Tanga
2022-09-05,Tanga
2022-09-05,Tanga
2022-09-06,Tanga
2022-09-06,Tanga
2022-08-09,Bwawani
2022-09-12,Bwawani
2022-09-12,Bwawani
2022-09-12,Bwawani
2022-09-12,Bwawani
2022-09-12,Bwawani
2022-09-12,Bwawani
2022-09-12,Bwawani
2022-09-12,Bwawani
2022-09-12,Bwawani
,
2022-09-13,Kizimkazi dimbani
2022-09-13,Kizimkazi dimbani
,
2022-09-12,Tanga
2022-09-12,Tanga
2022-09-15,Msuka
2022-09-15,Msuka
2022-09-19,Mkokotoni
2022-09-14,Tanga
2022-09-19,Tanga
2022-09-20,Mkokotoni
2022-09-20,Kizimkazi dimbani
2022-09-20,Mkokotoni
2022-09-20,Mkokotoni
2022-09-20,Msuka
2022-09-20,Msuka
2022-09-19,Tanga
2022-09-14,Tanga
2022-09-14,Tanga
2022-09-19,Tanga
2022-05-25,Tanga
2022-05-25,Tanga
2022-09-14,Tanga
2022-09-14,Tanga
2022-09-22,Kizimkazi dimbani
2022-09-22,Kizimkazi dimbani
2022-09-22,Kizimkazi dimbani
2022-09-22,Kizimkazi dimbani
2022-09-22,Msuka
2022-09-22,Msuka
2022-09-22,Msuka
2022-08-09,Bwawani
2022-08-09,Bwawani
2022-08-09,Bwawani
2022-09-19,Bwawani
2022-09-19,Bwawani
2022-09-19,Bwawani
2022-09-19,Bwawani
2022-09-27,Mkokotoni
2022-09-26,Tanga
2022-09-27,Bwawani
2022-09-27,Bwawani
2022-09-27,Bwawani
2022-09-27,Bwawani
2022-09-27,Bwawani
2022-09-27,Bwawani
2022-09-27,Bwawani
2022-09-28,Kizimkazi dimbani
2022-09-19,Shangani
2022-09-19,Shangani
2022-09-22,Shangani
2022-09-26,Shangani
2022-09-26,Shangani
2022-09-26,Shangani
2022-09-27,Bwawani
2022-09-27,Bwawani
2022-09-27,Tanga
2022-09-27,Bwawani
2022-09-27,Bwawani
2022-09-29,Msuka
2022-09-05,Bwawani
